time,x_sp,xpos_
0.600374,0.825125,-1.34028
0.601474,0.824502,-1.34028
0.602401,0.823978,-1.34028
0.603407,0.823407,-1.34028
0.604349,0.822872,-1.34028
0.605347,0.822305,-1.33621
0.60635,0.821733,-1.33621
0.607383,0.821145,-1.33621
0.60837,0.820581,-1.33621
0.609336,0.820028,-1.33621
0.610446,0.819393,-1.33621
0.611346,0.818876,-1.33621
0.612345,0.818302,-1.33621
0.613338,0.817731,-1.33621
0.614334,0.817157,-1.33621
0.615331,0.816583,-1.33621
0.616435,0.815945,-1.33621
0.617329,0.815427,-1.33621
0.618364,0.814828,-1.32935
0.619334,0.814265,-1.32935
0.620334,0.813684,-1.32935
0.621337,0.813101,-1.32935
0.622328,0.812524,-1.32935
0.623342,0.811932,-1.32935
0.624365,0.811334,-1.32935
0.625372,0.810745,-1.32504
0.626339,0.810179,-1.32504
0.627333,0.809596,-1.32504
0.62835,0.808999,-1.32504
0.629336,0.808418,-1.32504
0.630329,0.807833,-1.32504
0.631412,0.807195,-1.32504
0.632397,0.806613,-1.32504
0.633409,0.806014,-1.32504
0.634443,0.805402,-1.32504
0.635352,0.804863,-1.32504
0.636355,0.804267,-1.32504
0.637371,0.803663,-1.31814
0.638371,0.803068,-1.31814
0.639371,0.802471,-1.31814
0.640344,0.80189,-1.31814
0.641423,0.801245,-1.31814
0.642369,0.800679,-1.31814
0.643459,0.800026,-1.31814
0.644444,0.799434,-1.31814
0.645336,0.798898,-1.31389
0.646465,0.798218,-1.31389
0.647367,0.797675,-1.31389
0.648343,0.797086,-1.31389
0.649505,0.796383,-1.31389
0.650375,0.795857,-1.31389
0.651355,0.795263,-1.31389
0.652352,0.794658,-1.31389
0.653333,0.794062,-1.31389
0.654333,0.793454,-1.31389
0.65533,0.792847,-1.31389
0.65634,0.792231,-1.31389
0.657368,0.791603,-1.30666
0.658332,0.791014,-1.30666
0.659349,0.790391,-1.30666
0.660373,0.789764,-1.30666
0.661372,0.789151,-1.30666
0.662373,0.788535,-1.30666
0.663384,0.787913,-1.30666
0.664429,0.787269,-1.30666
0.665351,0.7867,-1.30217
0.666417,0.786042,-1.30217
0.667375,0.785449,-1.30217
0.668428,0.784797,-1.30217
0.669351,0.784224,-1.30217
0.670377,0.783588,-1.30217
0.671374,0.782968,-1.30217
0.672344,0.782364,-1.30217
0.673375,0.781721,-1.30217
0.674386,0.781091,-1.30217
0.675429,0.780439,-1.30217
0.676342,0.779868,-1.30217
0.677336,0.779245,-1.29462
0.678371,0.778596,-1.29462
0.679453,0.777916,-1.29462
0.680446,0.777292,-1.29462
0.681385,0.776701,-1.29462
0.682417,0.776051,-1.29462
0.683374,0.775447,-1.29462
0.684453,0.774765,-1.29462
0.685338,0.774205,-1.2899
0.686401,0.773532,-1.2899
0.68736,0.772924,-1.2899
0.688352,0.772294,-1.2899
0.689391,0.771634,-1.2899
0.690335,0.771033,-1.2899
0.691509,0.770285,-1.2899
0.692343,0.769753,-1.2899
0.693395,0.769081,-1.2899
0.694431,0.768418,-1.2899
0.695349,0.76783,-1.2899
0.69636,0.767182,-1.2899
0.697331,0.766559,-1.28231
0.698336,0.765913,-1.28231
0.699405,0.765225,-1.28231
0.700543,0.764492,-1.28231
0.701445,0.763911,-1.28231
0.70241,0.763287,-1.28231
0.703378,0.762661,-1.28231
0.704377,0.762015,-1.28231
0.705431,0.761332,-1.27763
0.706374,0.76072,-1.27763
0.707374,0.760071,-1.27763
0.708491,0.759345,-1.27763
0.709342,0.75879,-1.27763
0.710355,0.758131,-1.27763
0.711432,0.757428,-1.27763
0.71246,0.756756,-1.27763
0.71336,0.756167,-1.27763
0.714337,0.755527,-1.27763
0.715333,0.754875,-1.27763
0.716337,0.754216,-1.27763
0.717494,0.753456,-1.26975
0.718446,0.75283,-1.26975
0.719364,0.752225,-1.26975
